gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1024,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1067.0359,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_fp4,1.0%,607.811,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_nt_sbm64,1.2%,1674.8469,0,0,0,484.67,15159.1
gfx950,256,2048,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1299.9377,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_fp4,0.1%,743.4821,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2,7.0%,2043.4198,0,0,0,794.5,12435.62
gfx950,256,4096,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1593.4061,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_fp4,1.0%,948.8772,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_atomic_sbm128,1.2%,2542.2833,0,0,0,1277.2,10012.74
gfx950,256,8192,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2107.72,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4_bnt0_fp4,1.0%,1301.1943,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_atomic_sbm128,1.2%,3408.9143,0,0,0,1905.0,7493.09
gfx950,256,128,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,164.8312,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.1%,94.3658,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic,0.2%,259.197,0,0,0,,
gfx950,256,256,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,175.7647,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.1%,101.7617,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,0.2%,277.5264,0,0,0,,
gfx950,256,512,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,179.3286,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.2%,104.9305,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,0.2%,284.2591,0,0,0,,
gfx950,256,1024,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,179.4489,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.1%,111.5214,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,0.2%,290.9703,0,0,0,,
gfx950,256,2048,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,180.7463,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.1%,122.0382,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,0.1%,302.7845,0,0,0,,
gfx950,256,16384,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,419.6793,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4_bnt0_fp4,1.0%,814.4294,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm128,1.2%,1234.1087,0,0,0,1315.52,2854.87
gfx950,256,32768,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,709.3581,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4_fp4,1.0%,1590.7638,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1.2%,2300.1219,0,0,0,1411.66,1684.93
gfx950,256,1,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,11.0416,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_kw4_fp4,0.9%,6.8245,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.2%,17.8661,0,0,0,5.55,177482.23
gfx950,256,2,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.1308,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,0.9%,8.6834,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.1%,20.8142,0,0,0,9.52,152344.88
gfx950,256,4,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.1424,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw2_fp4,0.9%,11.537,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_sbm32,1.1%,28.6794,0,0,0,13.82,110566.46
gfx950,256,8,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,27.5338,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_fp4,0.9%,18.0936,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_nt_sbm32,1.1%,45.6274,0,0,0,17.37,69499.16
gfx950,256,16,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,50.6868,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,0.9%,27.823,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_nt_sbm32,1.1%,78.5098,0,0,0,20.19,40392.89
gfx950,256,32,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,90.1617,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw4_fp4,0.9%,48.4436,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_nt_sbm32,1.1%,138.6053,0,0,0,22.88,22882.11
gfx950,256,64,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,170.1299,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,0.9%,90.437,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.1%,260.5669,0,0,0,24.34,12174.49
gfx950,256,128,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,170.1896,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw4_fp4,0.9%,92.4661,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,262.6557,0,0,0,48.29,12082.91
gfx950,256,256,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,173.0489,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,0.9%,94.1488,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,1.2%,267.1977,0,0,0,94.94,11887.82
gfx950,256,512,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,176.2109,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_kw2_fp4,0.9%,99.3149,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,275.5258,0,0,0,184.14,11548.48
gfx950,256,1024,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,178.7802,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kw2_fp4,1.0%,108.9679,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,1.2%,287.7481,0,0,0,352.63,11096.21
gfx950,256,2048,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,183.4881,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,1.0%,148.0072,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.2%,331.4953,0,0,0,612.19,9698.28
gfx950,256,4096,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,189.2779,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,1.0%,238.6455,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_persist_sbm64,1.2%,427.9234,0,0,0,948.47,7615.79
gfx950,256,8192,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,235.2633,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4_fp4,1.0%,417.6124,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x128_reduce_sbm128,1.2%,652.8757,0,0,0,1243.34,5126.63
gfx950,256,1280,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,180.5158,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,1.0%,114.0271,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,294.5429,0,0,0,430.62,10858.92
gfx950,256,1440,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,180.0392,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kw2_fp4,1.0%,115.5606,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.2%,295.5998,0,0,0,482.71,10831.74
gfx950,256,1536,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,180.8755,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,1.0%,120.3976,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.2%,301.2731,0,0,0,505.2,10634.62
gfx950,256,1792,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,181.9442,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,1.0%,132.0811,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.2%,314.0253,0,0,0,565.46,10220.29
gfx950,256,64,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,173.3346,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,1.0%,93.2025,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.2%,266.5371,0,0,0,190.35,11901.8
gfx950,256,768,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,214.761,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4_fp4,1.0%,133.4102,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_nt_sbm128,1.2%,348.1712,0,0,0,1748.6,9154.72
gfx950,256,1280,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,310.192,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,1.0%,224.1301,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_persist_sbm64,1.2%,534.3221,0,0,0,1899.02,5985.94
gfx950,256,1536,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,318.9989,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,1.0%,233.6198,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_persist_sbm64,1.2%,552.6187,0,0,0,2203.37,5797.71
gfx950,256,4096,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,602.5367,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_bnt0_fp4,1.0%,449.1202,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_sbm128,1.2%,1051.6569,0,0,0,3087.5,3098.89
